105
19 5 3 
14 5 6 
28 5 3 
8 4 2 
17 5 5 
19 5 7 
17 4 7 
12 5 4 
12 5 7 
5 5 3 
8 4 7 
8 3 4 
29 5 3 
12 5 3 
6 5 3 
3 5 7 
1 4 6 
18 5 2 
3 5 3 
1 5 4 
30 5 6 
19 4 5 
12 4 6 
15 5 3 
11 5 2 
12 5 6 
4 5 3 
17 4 2 
12 3 3 
3 4 3 
8 5 5 
2 5 2 
2 5 4 
2 4 3 
7 5 3 
1 4 1 
14 5 3 
12 4 1 
25 5 7 
26 5 3 
20 5 3 
2 4 6 
13 5 6 
25 5 5 
10 4 3 
13 5 7 
11 4 4 
14 2 2 
1 3 3 
11 5 7 
10 5 1 
3 5 5 
13 5 3 
3 3 5 
2 3 5 
28 5 6 
28 1 1 
14 5 7 
18 4 4 
24 5 2 
1 2 5 
12 5 2 
29 1 4 
19 3 7 
17 3 4 
2 2 5 
29 5 5 
12 2 5 
2 4 4 
24 5 5 
4 5 4 
14 2 6 
1 5 3 
3 5 4 
2 3 3 
5 4 5 
2 5 1 
6 5 4 
15 5 6 
14 2 7 
24 5 6 
10 5 2 
29 2 2 
5 5 7 
4 5 5 
30 5 5 
25 1 2 
3 4 6 
2 4 1 
13 5 2 
22 5 3 
13 3 3 
3 4 5 
11 3 6 
23 5 5 
24 4 2 
23 4 7 
10 3 5 
14 2 1 
25 3 3 
10 4 4 
12 4 5 
10 5 6 
19 5 5 
24 3 3 
