105
8 5 6 
18 3 6 
1 4 3 
7 3 5 
18 4 4 
23 1 2 
2 5 5 
9 5 6 
7 2 7 
1 3 5 
10 1 1 
23 1 1 
18 3 1 
18 5 2 
1 5 1 
10 3 5 
4 1 3 
23 5 3 
23 4 5 
7 4 3 
2 1 4 
7 5 5 
30 1 2 
10 2 7 
8 5 4 
22 5 6 
18 5 3 
24 5 3 
28 5 3 
27 5 1 
9 2 2 
1 2 7 
11 1 2 
7 5 1 
24 2 2 
17 1 1 
25 5 5 
19 5 7 
4 2 1 
4 5 5 
23 2 4 
6 2 4 
9 1 4 
10 5 4 
6 1 6 
1 1 3 
23 1 6 
19 5 2 
24 3 6 
28 1 6 
28 1 1 
28 1 3 
13 3 3 
23 3 2 
9 5 4 
29 4 2 
23 1 7 
4 1 1 
21 2 4 
20 5 7 
27 5 3 
18 4 5 
5 5 3 
15 1 5 
5 2 4 
27 4 2 
13 2 5 
27 4 5 
10 5 3 
18 3 5 
4 2 6 
30 1 7 
11 1 6 
25 4 7 
6 4 5 
26 3 2 
11 1 4 
4 3 5 
25 1 2 
11 1 1 
2 1 2 
7 4 7 
11 2 4 
8 4 3 
6 4 1 
12 4 2 
29 5 5 
24 5 5 
4 4 7 
11 3 4 
14 3 4 
9 3 6 
16 2 7 
1 3 7 
11 4 2 
28 2 4 
1 4 2 
21 1 6 
11 1 7 
8 5 1 
30 5 6 
6 4 7 
18 4 3 
24 4 7 
16 5 3 
